#	Percent  	Count	Browser	Major version	Minor version
156	0.043280	15879	Chrome Mobile WebView	30	0
157	0.042852	15722	Mail.ru Chromium Browser	61	0
158	0.042228	15493	Samsung Internet	10	1
159	0.042187	15478	Chrome	64	0
160	0.040876	14997	Mobile Safari	13	0
161	0.040516	14865	Safari	12	1
162	0.040440	14837	Mobile Safari	12	1
163	0.040369	14811	Safari	13	1
164	0.040339	14800	Yandex Browser	17	9
165	0.040105	14714	Chrome Mobile WebView	79	0
166	0.038775	14226	Firefox	74	0
167	0.037126	13621	MiuiBrowser	12	2
168	0.036927	13548	Safari	13	0
169	0.036049	13226	Mobile Safari	8	0
170	0.035777	13126	HeadlessChrome	79	0
171	0.035452	13007	Android	4	2
172	0.034545	12674	Opera	58	2
173	0.034128	12521	YandexSearch	7	61
174	0.033811	12405	Firefox	60	0
175	0.033653	12347	Chrome	67	0
176	0.033405	12256	Firefox Mobile	80	0
177	0.033310	12221	Other 	0	0
178	0.033264	12204	Yandex Browser	19	4
179	0.033111	12148	Yandex Browser	19	10
180	0.032718	12004	Mobile Safari	7	0
181	0.032571	11950	Yandex Browser	20	6
182	0.032509	11927	Chrome Mobile WebView	70	0
183	0.032299	11850	Yandex Browser	20	7
184	0.032293	11848	Chrome	85	0
185	0.031764	11654	Google	123	4
186	0.031598	11593	Firefox Mobile	81	0
187	0.031563	11580	Firefox Mobile	68	0
188	0.031533	11569	Yandex Browser	20	6
189	0.031337	11497	Chrome	68	0
190	0.031154	11430	AdsBot-Google 	0	0
191	0.031048	11391	Chrome Mobile iOS	84	0
192	0.030759	11285	MiuiBrowser	12	4
193	0.030312	11121	Chrome Mobile	63	0
194	0.029857	10954	Opera Mobile	57	2
195	0.029658	10881	Chrome	66	0
196	0.029472	10813	Chrome Mobile WebView	62	0
197	0.029459	10808	YandexSearch	11	20
198	0.029390	10783	Flipboard	4	2
199	0.029211	10717	YandexSearch	9	20
200	0.028755	10550	Chrome	69	0
#####	5.675036	2082103	Others	0	0
#####	100.000000	36688809	#####	#####	#####
